NAME,STATE_UT,Coal_OpenCast,Coal_BelowGround,TOT_AREA,TOT_POP,M_POP,F_POP,TOT_LIT,M_LIT,F_LIT,TOT_W,M_W,F_W,TOT_CULT,TOT_AGLB,TOT_NNW,R_TOT_POP,R_TOT_LIT,U_TOT_POP,U_TOT_LIT,ID
Kapurthala,Punjab,0,0,1633,754521,0.529638009,0.470361991,0.646176846,0.684953068,0.602513962,0.34822225,0.528162793,0.145605216,0.073432018,0.033840012,0.65177775,0.673266881,0.606072119,0.326733119,0.728816722,2109
Jalandhar,Punjab,0,0,2634,1962700,0.529972487,0.470027513,0.688869415,0.72383354,0.649446138,0.344848933,0.536929773,0.128271057,0.045371682,0.026238855,0.655151067,0.525152596,0.648313747,0.474847404,0.733721538,2108
Bilaspur,Himachal Pradesh,0,0,1167,340885,0.50240697,0.49759303,0.679798172,0.745858709,0.613098537,0.489044692,0.522150143,0.455618965,0.195042316,0.00297461,0.510955308,0.935605849,0.672220585,0.064394151,0.789895677,901
Uttarkashi,Uttranchal,0,0,8016,295013,0.515285767,0.484714233,0.546284401,0.69507815,0.388106044,0.460671225,0.482830755,0.437114065,0.291478681,0.00318969,0.539328775,0.922315288,0.528069241,0.077684712,0.762544725,2613
Rupnagar,Punjab,0,0,2056,1116108,0.534519957,0.465480043,0.680997717,0.727834564,0.627214037,0.391846488,0.525858977,0.237957292,0.077641232,0.024507485,0.608153512,0.675293968,0.642482894,0.324706032,0.76109733,2116
Kapurthala,Punjab,0,0,1633,754521,0.529638009,0.470361991,0.646176846,0.684953068,0.602513962,0.34822225,0.528162793,0.145605216,0.073432018,0.033840012,0.65177775,0.673266881,0.606072119,0.326733119,0.728816722,2109
Solan,Himachal Pradesh,0,0,1936,500557,0.539980462,0.460019538,0.664080215,0.737886204,0.577445216,0.526303698,0.611478,0.426324338,0.130364774,0.006762467,0.473696302,0.817812956,0.637372301,0.182187044,0.783968419,911
Nawanshahr,Punjab,0,0,1266,587468,0.522414838,0.477585162,0.671405081,0.722002463,0.616058254,0.448872109,0.555398792,0.332346043,0.093028046,0.038778282,0.551127891,0.862007803,0.663330714,0.137992197,0.72184393,2114
Firozpur,Punjab,0,0,5300,1746107,0.530450883,0.469549117,0.517306786,0.582305144,0.443877968,0.371498425,0.532692955,0.189396536,0.10219305,0.065124875,0.628501575,0.741868625,0.465541439,0.258131375,0.666080204,2105
Moga,Punjab,0,0,2216,894854,0.52985068,0.47014932,0.552632049,0.588354892,0.512372984,0.400917915,0.539324966,0.244935408,0.106705675,0.071141214,0.599082085,0.800369669,0.525968495,0.199630331,0.659533139,2112
